Local Government,State,Bordering Country,Longitude,Latitude,Border Name
Zurmi,Zamfara,Niger,,,
Jibia,Katsina,Niger,7.789586,13.329492,Jibia Border
Jibia,Katsina,Niger,8.289500,13.193800,Kongolam Border
Mashi,Katsina,Niger,,,
Mai Adua,Katsina,Niger,,,
Zango,Katsina,Niger,,,
Baure,Katsina,Niger,,,
Kaita,Katsina,Niger,,,
Gudu,Sokoto,Niger,,,
Tangaza,Sokoto,Niger,,,
Illela,Sokoto,Niger,5.284066,13.752091,Illela Border
Gada,Sokoto,Niger,,,
Sabon Birni,Sokoto,Niger,,,
Isa,Sokoto,Niger,,,
Maigatari,Jigawa,Niger,,,
Sule Tankarkar,Jigawa,Niger,,,
Machina,Yobe,Niger,,,
Geidam,Yobe,Niger,,,
Yusufari,Yobe,Niger,,,
Yunusari,Yobe,Niger,,,
Abadam,Borno,Niger,,,
Abadam,Borno,Chad,,,
Kukawa,Borno,Chad,,,
Kukawa,Borno,Cameroun,,,
Monguno,Borno,Cameroun,,,
Marte,Borno,Cameroun,,,
Bama,Borno,Cameroun,,,
Ngala,Borno,Cameroun,14.222089,12.374143,Gamboru-Ngala Border
Michika,Adamawa,Cameroun,,,
Madagali,Adamawa,Cameroun,,,
Gwoza,Borno,Cameroun,,,
Mobbar,Borno,Niger,,,
Kala/Balge,Borno,Cameroun,,,
Mubi North,Adamawa,Cameroun,13.474998,10.265666,Mubi Border
Mubi South,Adamawa,Cameroun,13.475376,10.222136,Mubi South Border
Maiha,Adamawa,Cameroun,,,
Fufore,Adamawa,Cameroun,,,
Jada,Adamawa,Cameroun,,,
Ganye,Adamawa,Cameroun,,,
Toungo,Adamawa,Cameroun,,,
Gashaka,Taraba,Cameroun,,,
Sardauna,Taraba,Cameroun,,,
Kurmi,Taraba,Cameroun,,,
Ussa,Taraba,Cameroun,,,
Takum,Taraba,Cameroun,,,
Kwande,Benue,Cameroun,,,
Obanliku,Cross River,Cameroun,,,
Boki,Cross River,Cameroun,,,
Etung,Cross River,Cameroun,8.830637,5.803333,Ikom Border
Akampka,Cross River,Cameroun,8.830637,5.683333,Calabar Border
Akpabuyo,Cross River,Cameroun,,,
Badagry,Lagos,Benin Republic,,,
Badagry,Lagos,Benin Republic,2.710291,6.382599,Badagry/Seme Border
Dandi,Kebbi,Niger,3.619740,11.869118,Kamba Border
Arewa-Dandi,Kebbi,Niger,3.734740,12.595118,Kangiwa Border
Ipokia,Ogun,Benin Republic,2.733080,6.639422,Idi Iroko Border
Ipokia,Ogun,Benin Republic,,,
Yewa North,Ogun,Benin Republic,2.713080,6.949422,Yewa Border
Imeko Afon,Ogun,Benin Republic,2.744080,7.410000,Illara Border
Iwajowa,Oyo,Benin Republic,,,
Atisbo,Oyo,Benin Republic,,,
Saki West,Oyo,Benin Republic,,,
Baruten,Kwara,Benin Republic,,,
Borgu,Niger,Benin Republic,3.799989,10.439118,Babana Border
Bagudo,Kebbi,Benin Republic,,,
Dandi,Kebbi,Niger,,,
